restaurant_id,name
1,The Geez Freeze
2,Datam SF LLC dba Anzu To You
3,Casita Vegana
4,MOMO INNOVATION LLC
5,Treats by the Bay LLC
6,The Chef Station
7,Zuri Food Facilities
8,Philz Coffee Truck
9,Plaza Garibaldy
10,BH & MT LLC
11,"BOWL'D ACAI, LLC."
12,"Santana ESG, Inc."
13,May Catering
14,Quan Catering
15,Liang Bai Ping
16,Reecees Soulicious
17,Mini Mobile Food Catering
18,El Alambre
19,Got Snacks
20,Scotch Bonnet
21,Mike's Catering
22,"Chairman SF, LLC"
23,"Off the Grid Services, LLC"
24,"San Francisco Street Foods, Inc."
25,Buenafe
26,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs"
27,Papalote Inc.
28,DO UC US Mobile Catering
29,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's"
30,Fillmore Square
31,Senor Sisig
32,La Jefa
33,Think is Good Inc.
34,CARDONA'S FOOD TRUCK
35,California Kahve
36,Roadside Rotisserie Corporation / Country Grill
37,Singh Brothers Ice Cream
38,CC Acquisition LLC
39,Wu Wei LLC dba MoBowl
40,San Francisco's Hometown Creamery
41,"SOHOMEI, LLC"
42,Subs on Hubs
43,John's Catering #5
44,Serendipity SF
45,Brazuca Grill
46,Bonito Poke
47,Rita's Catering
48,Curry Up Now
49,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs"
50,Truly Food & More
51,Eva's Catering
52,F & C Catering
53,San Pancho's Tacos
54,Park's Catering
55,Natan's Catering
56,El Gallo Jiro
57,"Halal Cart, LLC"
58,FRUITYMANIA
59,Flavors of Africa
60,Cochinita
61,Faith Sandwich
62,Munch A Bunch
63,SPUNBYSS
64,Tacos El Primo
65,Munch India
66,The Huge Hotdog Concession
67,Julie's Hot Dogs
68,Tres Agaves Mexican Kitchen & Tequila Lounge LLC. dba Tres Truck
69,Marengo
70,Eli's Hot Dogs
71,SF Cart Project
72,El Tonayense #60
73,Ruru Juice LLC
74,Wonder Philly
75,"Kabob Trolley, LLC"
76,Quick Grub
77,Tacos Lol-Tun
78,El Tonayanse #4 / #36
79,Halal Cart of San Francisco
80,Golden Gate Halal Food
81,Tacos Rodriguez
82,Leo's Hot Dogs
83,Tacos El Flaco
84,Street Meet
85,Shah's Halal Food
86,Lerso
87,El Calamar Perubian Food Truck
88,Tacos Santo Toribio
89,Star Taco
90,tacos y pupusas los trinos
91,Kettle Corn Star
92,Ziaurehman Amini
93,SF Street Food
94,"Bay Area Dots, LLC"
95,Tacos El Ojo De Agua
96,Tacos Santana
97,Kid Abelha - Brazilian Hamburgers
98,Fruteria Serrano
99,Taqueria Lolita
100,The Chai Cart
101,Swell Cream & Coffee
102,Corazon Maya
103,Breakfast Embed
104,Pipo's Grill
105,Athena SF Gyro
106,Izzy's Cheesesteaks
107,"Casey's Pizza, LLC"
108,Giant Burrito
109,Halal Food
110,Chilifruit
111,Alfaro Truck
112,"Expresso Subito, LLC."
113,Boulangerie La Camionnette
114,Let's Be Frank
115,Khalid M Malik
116,Yummy Hot Dogs
117,Isidoro Serrano
118,Esmeli Catering
119,Authentic India
120,Union Square Business Improvement District